pool_id,Year,MMWR_Week,Date_Collected,Zip_Code,county,county_code,Collected,Tested,WNV,Pools
201-33,2004,26,7-Jul-04,26025,Calhoun,26025,1,1,NEG,1
201-34,2004,26,7-Jul-04,26009,Antrim,26009,1,1,NEG,1
201-35,2004,26,9-Jul-04,26151,Sanilac,26151,1,1,NEG,1
201-36,2004,26,9-Jul-04,26137,Otsego,26137,1,1,NEG,1
201-37,2004,26,9-Jul-04,26145,Saginaw,26145,1,1,NEG,1
201-38,2004,26,9-Jul-04,26015,Barry,26015,1,1,NEG,1
201-39,2004,26,9-Jul-04,26089,Leelanau,26089,1,1,NEG,1
201-40,2004,26,9-Jul-04,26121,Muskegon,26121,1,1,NEG,1
201-41,2004,26,9-Jul-04,26083,Keweenaw,26083,1,1,NEG,1
201-42,2004,26,9-Jul-04,26091,Lenawee,26091,1,1,NEG,1
201-43,2004,26,9-Jul-04,26035,Clare,26035,1,1,NEG,1
201-44,2004,26,9-Jul-04,26035,Clare,26035,1,1,NEG,1
201-45,2004,26,9-Jul-04,26143,Roscommon,26143,1,1,NEG,1
201-46,2004,26,9-Jul-04,26153,Schoolcraft,26153,1,1,NEG,1
201-47,2004,26,9-Jul-04,26067,Ionia,26067,1,1,NEG,1
201-48,2004,26,9-Jul-04,26137,Otsego,26137,1,1,NEG,1
201-49,2004,26,9-Jul-04,26099,Macomb,26099,1,1,NEG,1
201-50,2004,26,12-Jul-04,26071,Iron,26071,1,1,NEG,1
201-51,2004,26,13-Jul-04,26113,Missaukee,26113,1,1,NEG,1
201-52,2004,26,14-Jul-04,26105,Mason,26105,1,1,NEG,1
201-53,2004,26,14-Jul-04,26055,Grand Traverse,26055,1,1,NEG,1
201-54,2004,26,14-Jul-04,26157,Tuscola,26157,1,1,NEG,1
201-55,2004,26,14-Jul-04,26067,Ionia,26067,1,1,NEG,1
201-56,2004,26,14-Jul-04,26027,Cass,26027,1,1,NEG,1
201-57,2004,26,14-Jul-04,26023,Branch,26023,1,1,NEG,1
201-58,2004,26,14-Jul-04,26055,Grand Traverse,26055,1,1,NEG,1
201-59,2004,26,15-Jul-04,26023,Branch,26023,1,1,NEG,1
201-60,2004,26,15-Jul-04,26045,Eaton,26045,1,1,NEG,1
201-61,2004,26,15-Jul-04,26057,Gratiot,26057,1,1,NEG,1
201-62,2004,26,15-Jul-04,26025,Calhoun,26025,1,1,NEG,1
201-63,2004,26,15-Jul-04,26091,Lenawee,26091,1,1,NEG,1
201-64,2004,26,15-Jul-04,26027,Cass,26027,1,1,NEG,1
201-65,2004,26,15-Jul-04,26061,Houghton,26061,1,1,NEG,1
201-66,2004,26,15-Jul-04,26039,Crawford,26039,1,1,NEG,1
201-67,2004,26,15-Jul-04,26051,Gladwin,26051,1,1,NEG,1
201-68,2004,26,15-Jul-04,26075,Jackson,26075,1,1,NEG,1
201-69,2004,26,15-Jul-04,26075,Jackson,26075,1,1,NEG,1
201-70,2004,26,15-Jul-04,26161,Washtenaw,26161,1,1,NEG,1
201-71,2004,26,15-Jul-04,26085,Lake,26085,1,1,NEG,1
201-72,2004,26,15-Jul-04,26045,Eaton,26045,1,1,NEG,1
201-73,2004,26,15-Jul-04,26097,Mackinac,26097,1,1,NEG,1
201-74,2004,26,15-Jul-04,26017,Bay,26017,1,1,NEG,1
201-75,2004,26,15-Jul-04,26087,Lapeer,26087,1,1,NEG,1
201-76,2004,26,15-Jul-04,26055,Grand Traverse,26055,1,1,NEG,1
201-77,2004,26,15-Jul-04,26081,Kent,26081,1,1,NEG,1
201-78,2004,26,18-Jul-04,26153,Schoolcraft,26153,1,1,NEG,1
201-79,2004,26,19-Jul-04,26003,Alger,26003,1,1,POS,1
201-80,2004,26,21-Jul-04,26155,Shiawassee,26155,1,1,NEG,1
201-81,2004,26,21-Jul-04,26061,Houghton,26061,1,1,NEG,1
201-82,2004,26,21-Jul-04,26025,Calhoun,26025,1,1,NEG,1
201-83,2004,26,21-Jul-04,26131,Ontonagon,26131,1,1,NEG,1
201-84,2004,26,21-Jul-04,26053,Gogebic,26053,1,1,NEG,1
201-85,2004,26,21-Jul-04,26081,Kent,26081,1,1,NEG,1
201-86,2004,26,21-Jul-04,26089,Leelanau,26089,1,1,NEG,1
201-87,2004,26,21-Jul-04,26105,Mason,26105,1,1,NEG,1
201-88,2004,26,21-Jul-04,26057,Gratiot,26057,1,1,NEG,1
201-89,2004,26,21-Jul-04,26011,Arenac,26011,1,1,NEG,1
201-90,2004,26,21-Jul-04,26157,Tuscola,26157,1,1,NEG,1
201-91,2004,26,21-Jul-04,26139,Ottawa,26139,1,1,NEG,1
201-92,2004,26,21-Jul-04,26115,Monroe,26115,1,1,NEG,1
201-93,2004,26,22-Jul-04,26077,Kalamazoo,26077,1,1,NEG,1
201-94,2004,26,23-Jul-04,26151,Sanilac,26151,1,1,NEG,1
201-95,2004,26,24-Jul-04,26131,Ontonagon,26131,1,1,NEG,1
201-96,2004,26,24-Jul-04,26149,St Joseph,26149,1,1,NEG,1
201-97,2004,26,25-Jul-04,26117,Montcalm,26117,1,1,NEG,1
201-98,2004,26,26-Jul-04,26147,St Clair,26147,1,1,NEG,1
201-99,2004,26,26-Jul-04,26043,Dickinson,26043,1,1,NEG,1
201-100,2004,26,27-Jul-04,26059,Hillsdale,26059,1,1,NEG,1
201-101,2004,26,27-Jul-04,26083,Keweenaw,26083,1,1,NEG,1
201-102,2004,26,27-Jul-04,26113,Missaukee,26113,1,1,NEG,1
201-103,2004,26,27-Jul-04,26005,Allegan,26005,1,1,NEG,1
201-104,2004,26,27-Jul-04,26157,Tuscola,26157,1,1,NEG,1
201-105,2004,26,28-Jul-04,26133,Osceola,26133,1,1,NEG,1
201-106,2004,26,28-Jul-04,26043,Dickinson,26043,1,1,NEG,1
201-107,2004,26,28-Jul-04,26103,Marquette,26103,1,1,NEG,1
201-108,2004,26,28-Jul-04,26031,Cheboygan,26031,1,1,NEG,1
201-109,2004,26,28-Jul-04,26105,Mason,26105,1,1,NEG,1
201-110,2004,26,28-Jul-04,26023,Branch,26023,1,1,NEG,1
201-111,2004,26,28-Jul-04,26077,Kalamazoo,26077,1,1,NEG,1
201-112,2004,26,29-Jul-04,26017,Bay,26017,1,1,NEG,1
201-113,2004,26,29-Jul-04,26121,Muskegon,26121,1,1,NEG,1
201-114,2004,26,29-Jul-04,26151,Sanilac,26151,1,1,NEG,1
201-115,2004,26,29-Jul-04,26127,Oceana,26127,1,1,NEG,1
201-116,2004,26,30-Jul-04,26013,Baraga,26013,1,1,NEG,1
201-117,2004,26,30-Jul-04,26029,Charlevoix,26029,1,1,NEG,1
201-118,2004,26,30-Jul-04,26027,Cass,26027,1,1,NEG,1
201-119,2004,26,30-Jul-04,26041,Delta,26041,1,1,NEG,1
201-120,2004,26,30-Jul-04,26065,Ingham,26065,1,1,NEG,1
201-121,2004,26,30-Jul-04,26157,Tuscola,26157,1,1,NEG,1
201-122,2005,26,30-Jul-04,26139,Ottawa,26139,1,1,NEG,1
201-123,2005,26,26-May-05,26055,Grand Traverse,26055,1,1,NEG,1
201-124,2005,26,9-Jun-05,26123,Newaygo,26123,1,1,NEG,1
201-125,2005,26,10-Jun-05,26073,Isabella,26073,1,1,NEG,1
201-126,2005,26,14-Jun-05,26115,Monroe,26115,1,1,NEG,1
201-127,2005,26,15-Jun-05,26057,Gratiot,26057,1,1,NEG,1
201-128,2005,26,15-Jun-05,26049,Genesee,26049,1,1,NEG,1
201-129,2005,26,16-Jun-05,26157,Tuscola,26157,1,1,NEG,1
201-130,2005,26,16-Jun-05,26011,Arenac,26011,1,1,NEG,1
201-131,2005,26,16-Jun-05,26035,Clare,26035,1,1,NEG,1
201-132,2005,26,16-Jun-05,26139,Ottawa,26139,1,1,NEG,1
201-133,2005,26,19-Jun-05,26015,Barry,26015,1,1,NEG,1
201-134,2005,26,20-Jun-05,26103,Marquette,26103,1,1,NEG,1
201-135,2005,26,20-Jun-05,26019,Benzie,26019,1,1,NEG,1
201-136,2005,26,20-Jun-05,26095,Luce,26095,1,1,NEG,1
201-137,2005,26,20-Jun-05,26163,Wayne,26163,1,1,NEG,1
201-138,2005,26,20-Jun-05,26125,Oakland,26125,1,1,NEG,1
201-139,2005,26,21-Jun-05,26057,Gratiot,26057,1,1,NEG,1
201-140,2005,26,21-Jun-05,26145,Saginaw,26145,1,1,NEG,1
201-141,2005,26,21-Jun-05,26139,Ottawa,26139,1,1,NEG,1
201-142,2005,26,22-Jun-05,26071,Iron,26071,1,1,NEG,1
201-143,2005,26,22-Jun-05,26163,Wayne,26163,1,1,NEG,1
201-144,2005,26,23-Jun-05,26103,Marquette,26103,1,1,NEG,1
201-145,2005,26,23-Jun-05,26161,Washtenaw,26161,1,1,NEG,1
201-146,2005,26,23-Jun-05,26139,Ottawa,26139,1,1,NEG,1
201-147,2005,26,24-Jun-05,26031,Cheboygan,26031,1,1,NEG,1
201-148,2005,26,24-Jun-05,26139,Ottawa,26139,1,1,NEG,1
201-149,2005,26,24-Jun-05,26061,Houghton,26061,1,1,NEG,1
201-150,2005,26,25-Jun-05,26043,Dickinson,26043,1,1,NEG,1
201-151,2005,26,27-Jun-05,26115,Monroe,26115,1,1,NEG,1
201-152,2005,26,28-Jun-05,26003,Alger,26003,1,1,NEG,1
201-153,2005,26,28-Jun-05,26105,Mason,26105,1,1,NEG,1
201-154,2005,26,28-Jun-05,26161,Washtenaw,26161,1,1,NEG,1
201-155,2005,26,28-Jun-05,26039,Crawford,26039,1,1,NEG,1
201-156,2005,26,28-Jun-05,26051,Gladwin,26051,1,1,NEG,1
201-157,2005,26,28-Jun-05,26141,Presque Isle,26141,1,1,NEG,1
201-158,2005,26,28-Jun-05,26053,Gogebic,26053,1,1,NEG,1
201-159,2005,26,28-Jun-05,26077,Kalamazoo,26077,1,1,NEG,1
201-160,2005,26,28-Jun-05,26157,Tuscola,26157,1,1,NEG,1
201-161,2005,26,28-Jun-05,26021,Berrien,26021,1,1,NEG,1
201-162,2005,26,28-Jun-05,26115,Monroe,26115,1,1,NEG,1
201-163,2005,26,28-Jun-05,26003,Alger,26003,1,1,NEG,1
201-164,2005,26,28-Jun-05,26149,St Joseph,26149,1,1,NEG,1
201-165,2005,26,28-Jun-05,26073,Isabella,26073,1,1,NEG,1
201-166,2005,26,28-Jun-05,26057,Gratiot,26057,1,1,NEG,1
201-167,2005,26,28-Jun-05,26117,Montcalm,26117,1,1,NEG,1
201-168,2005,26,28-Jun-05,26147,St Clair,26147,1,1,NEG,1
201-169,2005,26,29-Jun-05,26069,Iosco,26069,1,1,NEG,1
201-170,2005,26,29-Jun-05,26125,Oakland,26125,1,1,NEG,1
201-171,2005,26,29-Jun-05,26025,Calhoun,26025,1,1,NEG,1
201-172,2005,26,29-Jun-05,26151,Sanilac,26151,1,1,NEG,1
201-173,2005,26,29-Jun-05,26159,Van Buren,26159,1,1,NEG,1
201-174,2005,26,29-Jun-05,26073,Isabella,26073,1,1,NEG,1
201-175,2005,26,29-Jun-05,26041,Delta,26041,1,1,NEG,1
201-176,2005,26,30-Jun-05,26103,Marquette,26103,1,1,NEG,1
201-177,2005,26,30-Jun-05,26085,Lake,26085,1,1,NEG,1
201-178,2005,26,30-Jun-05,26025,Calhoun,26025,1,1,NEG,1
201-179,2005,26,30-Jun-05,26131,Ontonagon,26131,1,1,NEG,1
201-180,2005,26,30-Jun-05,26121,Muskegon,26121,1,1,NEG,1
201-181,2005,26,30-Jun-05,26089,Leelanau,26089,1,1,NEG,1
201-182,2005,26,30-Jun-05,26151,Sanilac,26151,1,1,NEG,1
201-183,2005,26,30-Jun-05,26139,Ottawa,26139,1,1,NEG,1
201-184,2005,26,30-Jun-05,26095,Luce,26095,1,1,NEG,1
201-185,2005,26,30-Jun-05,26043,Dickinson,26043,1,1,NEG,1
201-186,2005,26,30-Jun-05,26125,Oakland,26125,1,1,NEG,1
201-187,2005,26,30-Jun-05,26077,Kalamazoo,26077,1,1,NEG,1
201-188,2005,26,30-Jun-05,26065,Ingham,26065,1,1,NEG,1
201-189,2005,26,30-Jun-05,26131,Ontonagon,26131,1,1,NEG,1
201-190,2005,26,30-Jun-05,26073,Isabella,26073,1,1,NEG,1
201-191,2005,26,30-Jun-05,26043,Dickinson,26043,1,1,NEG,1
201-192,2005,26,30-Jun-05,26037,Clinton,26037,1,1,NEG,1
201-193,2005,26,30-Jun-05,26051,Gladwin,26051,1,1,NEG,1
201-194,2005,26,30-Jun-05,26015,Barry,26015,1,1,NEG,1
201-195,2005,26,30-Jun-05,26031,Cheboygan,26031,1,1,NEG,1
201-196,2005,26,30-Jun-05,26023,Branch,26023,1,1,NEG,1
201-197,2005,26,30-Jun-05,26019,Benzie,26019,1,1,NEG,1
201-198,2005,26,30-Jun-05,26115,Monroe,26115,1,1,NEG,1
201-199,2005,26,30-Jun-05,26023,Branch,26023,1,1,NEG,1
201-200,2005,26,30-Jun-05,26031,Cheboygan,26031,1,1,NEG,1
201-201,2005,26,30-Jun-05,26139,Ottawa,26139,1,1,NEG,1
201-202,2005,26,30-Jun-05,26037,Clinton,26037,1,1,NEG,1
201-203,2005,26,30-Jun-05,26009,Antrim,26009,1,1,NEG,1
201-204,2005,26,30-Jun-05,26061,Houghton,26061,1,1,NEG,1
201-205,2005,26,30-Jun-05,26119,Montmorency,26119,1,1,NEG,1
201-206,2005,26,30-Jun-05,26137,Otsego,26137,1,1,NEG,1
201-207,2005,26,30-Jun-05,26061,Houghton,26061,1,1,NEG,1
201-208,2005,26,30-Jun-05,26109,Menominee,26109,1,1,NEG,1
201-209,2005,26,30-Jun-05,26155,Shiawassee,26155,1,1,NEG,1
201-210,2005,26,30-Jun-05,26161,Washtenaw,26161,1,1,NEG,1
201-211,2005,26,30-Jun-05,26063,Huron,26063,1,1,NEG,1
201-212,2005,26,30-Jun-05,26159,Van Buren,26159,1,1,NEG,1
201-213,2005,26,30-Jun-05,26157,Tuscola,26157,1,1,NEG,1
201-214,2005,26,30-Jun-05,26149,St Joseph,26149,1,1,NEG,1
201-215,2005,26,30-Jun-05,26101,Manistee,26101,1,1,NEG,1
201-216,2005,26,30-Jun-05,26121,Muskegon,26121,1,1,NEG,1
201-217,2005,26,30-Jun-05,26021,Berrien,26021,1,1,NEG,1
201-218,2005,26,30-Jun-05,26135,Oscoda,26135,1,1,NEG,1
201-219,2005,26,30-Jun-05,26121,Muskegon,26121,1,1,NEG,1
201-220,2005,26,30-Jun-05,26039,Crawford,26039,1,1,NEG,1
201-221,2005,26,30-Jun-05,26067,Ionia,26067,1,1,NEG,1
201-222,2005,26,30-Jun-05,26081,Kent,26081,1,1,NEG,1
201-223,2005,26,30-Jun-05,26129,Ogemaw,26129,1,1,NEG,1
201-224,2005,26,30-Jun-05,26119,Montmorency,26119,1,1,NEG,1
201-225,2005,26,30-Jun-05,26085,Lake,26085,1,1,NEG,1
201-226,2005,26,30-Jun-05,26163,Wayne,26163,1,1,NEG,1
201-227,2005,26,30-Jun-05,26045,Eaton,26045,1,1,NEG,1
201-228,2005,26,30-Jun-05,26067,Ionia,26067,1,1,NEG,1
201-229,2005,26,30-Jun-05,26165,Wexford,26165,1,1,NEG,1
201-230,2005,26,30-Jun-05,26011,Arenac,26011,1,1,NEG,1
201-231,2005,26,30-Jun-05,26147,St Clair,26147,1,1,NEG,1
201-232,2005,26,30-Jun-05,26005,Allegan,26005,1,1,NEG,1
201-233,2005,26,30-Jun-05,26083,Keweenaw,26083,1,1,NEG,1
201-234,2005,26,30-Jun-05,26015,Barry,26015,1,1,NEG,1
201-235,2005,26,30-Jun-05,26093,Livingston,26093,1,1,NEG,1
201-236,2005,26,30-Jun-05,26029,Charlevoix,26029,1,1,NEG,1
201-237,2005,26,30-Jun-05,26081,Kent,26081,1,1,NEG,1
201-238,2005,26,30-Jun-05,26115,Monroe,26115,1,1,NEG,1
201-239,2005,26,30-Jun-05,26063,Huron,26063,1,1,NEG,1
201-240,2005,26,30-Jun-05,26155,Shiawassee,26155,1,1,NEG,1
201-241,2005,26,30-Jun-05,26009,Antrim,26009,1,1,POS,1
201-242,2005,26,1-Jul-05,26111,Midland,26111,1,1,NEG,1
201-243,2005,26,1-Jul-05,26065,Ingham,26065,1,1,NEG,1
201-244,2005,26,1-Jul-05,26113,Missaukee,26113,1,1,NEG,1
201-245,2005,26,1-Jul-05,26089,Leelanau,26089,1,1,NEG,1
201-246,2005,26,1-Jul-05,26003,Alger,26003,1,1,NEG,1
201-247,2005,26,1-Jul-05,26145,Saginaw,26145,1,1,NEG,1
201-248,2005,26,1-Jul-05,26135,Oscoda,26135,1,1,NEG,1
201-249,2005,26,1-Jul-05,26059,Hillsdale,26059,1,1,NEG,1
201-250,2005,26,1-Jul-05,26055,Grand Traverse,26055,1,1,NEG,1
201-251,2005,26,1-Jul-05,26131,Ontonagon,26131,1,1,NEG,1
201-252,2005,26,1-Jul-05,26009,Antrim,26009,1,1,NEG,1
201-253,2005,26,1-Jul-05,26105,Mason,26105,1,1,NEG,1
201-254,2005,26,1-Jul-05,26115,Monroe,26115,1,1,NEG,1
201-255,2005,26,1-Jul-05,26065,Ingham,26065,1,1,NEG,1
201-256,2005,26,1-Jul-05,26021,Berrien,26021,1,1,NEG,1
201-257,2005,26,1-Jul-05,26153,Schoolcraft,26153,1,1,NEG,1
201-258,2005,26,1-Jul-05,26001,Alcona,26001,1,1,NEG,1
201-259,2005,26,1-Jul-05,26037,Clinton,26037,1,1,NEG,1
201-260,2005,26,1-Jul-05,26053,Gogebic,26053,1,1,NEG,1
201-261,2005,26,1-Jul-05,26055,Grand Traverse,26055,1,1,NEG,1
201-262,2005,26,1-Jul-05,26037,Clinton,26037,1,1,NEG,1
201-263,2005,26,1-Jul-05,26011,Arenac,26011,1,1,NEG,1
201-264,2005,26,1-Jul-05,26005,Allegan,26005,1,1,NEG,1
201-265,2005,26,1-Jul-05,26099,Macomb,26099,1,1,NEG,1
201-266,2005,26,1-Jul-05,26115,Monroe,26115,1,1,NEG,1
201-267,2005,26,1-Jul-05,26129,Ogemaw,26129,1,1,NEG,1
201-268,2005,26,1-Jul-05,26103,Marquette,26103,1,1,NEG,1
201-269,2005,26,1-Jul-05,26133,Osceola,26133,1,1,NEG,1
201-270,2005,26,1-Jul-05,26147,St Clair,26147,1,1,NEG,1
201-271,2005,26,1-Jul-05,26081,Kent,26081,1,1,NEG,1
201-272,2005,26,1-Jul-05,26065,Ingham,26065,1,1,NEG,1
201-273,2005,26,1-Jul-05,26031,Cheboygan,26031,1,1,NEG,1
201-274,2005,26,1-Jul-05,26007,Alpena,26007,1,1,NEG,1
201-275,2005,26,1-Jul-05,26025,Calhoun,26025,1,1,NEG,1
201-276,2005,26,1-Jul-05,26079,Kalkaska,26079,1,1,NEG,1
201-277,2005,26,1-Jul-05,26031,Cheboygan,26031,1,1,NEG,1
201-278,2005,26,1-Jul-05,26021,Berrien,26021,1,1,NEG,1
201-279,2005,26,1-Jul-05,26025,Calhoun,26025,1,1,NEG,1
201-280,2005,26,1-Jul-05,26109,Menominee,26109,1,1,NEG,1
201-281,2005,26,1-Jul-05,26129,Ogemaw,26129,1,1,NEG,1
201-282,2005,26,1-Jul-05,26135,Oscoda,26135,1,1,NEG,1
201-283,2005,26,2-Jul-05,26081,Kent,26081,1,1,POS,1
201-284,2005,26,4-Jul-05,26145,Saginaw,26145,1,1,POS,1
201-285,2005,26,5-Jul-05,26023,Branch,26023,1,1,NEG,1
201-286,2005,26,5-Jul-05,26115,Monroe,26115,1,1,NEG,1
201-287,2005,26,5-Jul-05,26007,Alpena,26007,1,1,NEG,1
201-288,2005,26,5-Jul-05,26027,Cass,26027,1,1,NEG,1
201-289,2005,26,5-Jul-05,26063,Huron,26063,1,1,NEG,1
201-290,2005,26,5-Jul-05,26125,Oakland,26125,1,1,NEG,1
201-291,2005,26,5-Jul-05,26009,Antrim,26009,1,1,NEG,1
201-292,2005,26,5-Jul-05,26049,Genesee,26049,1,1,NEG,1
201-293,2005,26,5-Jul-05,26043,Dickinson,26043,1,1,NEG,1
201-294,2005,26,5-Jul-05,26153,Schoolcraft,26153,1,1,NEG,1
201-295,2005,26,5-Jul-05,26165,Wexford,26165,1,1,NEG,1
201-296,2005,26,5-Jul-05,26129,Ogemaw,26129,1,1,NEG,1
201-297,2005,26,5-Jul-05,26039,Crawford,26039,1,1,NEG,1
201-298,2005,26,5-Jul-05,26105,Mason,26105,1,1,NEG,1
201-299,2005,26,5-Jul-05,26069,Iosco,26069,1,1,NEG,1
201-300,2005,26,5-Jul-05,26149,St Joseph,26149,1,1,NEG,1
201-301,2005,26,5-Jul-05,26057,Gratiot,26057,1,1,NEG,1
201-302,2005,26,5-Jul-05,26087,Lapeer,26087,1,1,NEG,1
201-303,2005,26,5-Jul-05,26033,Chippewa,26033,1,1,POS,1
201-304,2005,26,6-Jul-05,26105,Mason,26105,1,1,NEG,1
201-305,2005,26,6-Jul-05,26031,Cheboygan,26031,1,1,NEG,1
201-306,2005,26,6-Jul-05,26027,Cass,26027,1,1,NEG,1
201-307,2005,26,6-Jul-05,26025,Calhoun,26025,1,1,NEG,1
201-308,2005,26,6-Jul-05,26143,Roscommon,26143,1,1,NEG,1
201-309,2005,26,6-Jul-05,26007,Alpena,26007,1,1,NEG,1
201-310,2005,26,7-Jul-05,26091,Lenawee,26091,1,1,NEG,1
201-311,2005,26,7-Jul-05,26103,Marquette,26103,1,1,NEG,1
201-312,2005,26,7-Jul-05,26135,Oscoda,26135,1,1,NEG,1
201-313,2005,26,7-Jul-05,26127,Oceana,26127,1,1,NEG,1
201-314,2005,26,7-Jul-05,26123,Newaygo,26123,1,1,NEG,1
201-315,2005,26,7-Jul-05,26073,Isabella,26073,1,1,NEG,1
201-316,2005,26,7-Jul-05,26051,Gladwin,26051,1,1,NEG,1
201-317,2005,26,7-Jul-05,26093,Livingston,26093,1,1,NEG,1
201-318,2005,26,7-Jul-05,26019,Benzie,26019,1,1,NEG,1
201-319,2005,26,7-Jul-05,26045,Eaton,26045,1,1,NEG,1
201-320,2005,26,7-Jul-05,26105,Mason,26105,1,1,NEG,1
201-321,2005,26,7-Jul-05,26029,Charlevoix,26029,1,1,NEG,1
201-322,2005,26,7-Jul-05,26159,Van Buren,26159,1,1,NEG,1
201-323,2005,26,7-Jul-05,26131,Ontonagon,26131,1,1,NEG,1
201-324,2005,26,7-Jul-05,26073,Isabella,26073,1,1,NEG,1
201-325,2005,26,7-Jul-05,26061,Houghton,26061,1,1,NEG,1
201-326,2005,26,7-Jul-05,26117,Montcalm,26117,1,1,NEG,1
201-327,2005,26,7-Jul-05,26099,Macomb,26099,1,1,NEG,1
201-328,2005,26,7-Jul-05,26125,Oakland,26125,1,1,NEG,1
201-329,2005,26,7-Jul-05,26003,Alger,26003,1,1,NEG,1
201-330,2005,26,7-Jul-05,26013,Baraga,26013,1,1,NEG,1
201-331,2005,26,7-Jul-05,26019,Benzie,26019,1,1,NEG,1
201-332,2005,26,7-Jul-05,26127,Oceana,26127,1,1,NEG,1
201-333,2005,26,7-Jul-05,26153,Schoolcraft,26153,1,1,NEG,1
201-334,2005,26,7-Jul-05,26071,Iron,26071,1,1,NEG,1
201-335,2005,26,7-Jul-05,26041,Delta,26041,1,1,NEG,1
201-336,2005,26,7-Jul-05,26071,Iron,26071,1,1,NEG,1
201-337,2005,26,7-Jul-05,26155,Shiawassee,26155,1,1,NEG,1
201-338,2005,26,7-Jul-05,26095,Luce,26095,1,1,NEG,1
201-339,2005,26,7-Jul-05,26149,St Joseph,26149,1,1,NEG,1
201-340,2005,26,7-Jul-05,26151,Sanilac,26151,1,1,NEG,1
201-341,2005,26,7-Jul-05,26085,Lake,26085,1,1,NEG,1
201-342,2005,26,7-Jul-05,26067,Ionia,26067,1,1,NEG,1
201-343,2005,26,7-Jul-05,26155,Shiawassee,26155,1,1,NEG,1
201-344,2005,26,7-Jul-05,26011,Arenac,26011,1,1,NEG,1
201-345,2005,26,8-Jul-05,26123,Newaygo,26123,1,1,NEG,1
201-346,2005,26,8-Jul-05,26043,Dickinson,26043,1,1,NEG,1
201-347,2005,26,8-Jul-05,26001,Alcona,26001,1,1,NEG,1
201-348,2005,26,8-Jul-05,26131,Ontonagon,26131,1,1,NEG,1
201-349,2005,26,8-Jul-05,26051,Gladwin,26051,1,1,NEG,1
201-350,2005,26,8-Jul-05,26139,Ottawa,26139,1,1,NEG,1
201-351,2005,26,8-Jul-05,26021,Berrien,26021,1,1,NEG,1
201-352,2005,26,8-Jul-05,26135,Oscoda,26135,1,1,NEG,1
201-353,2005,26,8-Jul-05,26097,Mackinac,26097,1,1,NEG,1
201-354,2005,26,8-Jul-05,26133,Osceola,26133,1,1,NEG,1
201-355,2005,26,8-Jul-05,26025,Calhoun,26025,1,1,NEG,1
201-356,2005,26,8-Jul-05,26129,Ogemaw,26129,1,1,NEG,1
201-357,2005,26,8-Jul-05,26017,Bay,26017,1,1,NEG,1
201-358,2005,26,8-Jul-05,26101,Manistee,26101,1,1,NEG,1
201-359,2005,26,8-Jul-05,26155,Shiawassee,26155,1,1,NEG,1
201-360,2005,26,8-Jul-05,26051,Gladwin,26051,1,1,NEG,1
201-361,2005,26,8-Jul-05,26087,Lapeer,26087,1,1,NEG,1
201-362,2005,26,8-Jul-05,26053,Gogebic,26053,1,1,NEG,1
